#mass density[g/cm^3],  pressure [erg/cm^3],  baryonic_density [1/fm^3]
5.41069E+015, 1.27488E+036, 1
5.37486E+015, 1.26415E+036, 1
5.33903E+015, 1.25341E+036, 1
5.30320E+015, 1.24268E+036, 1
5.26737E+015, 1.23194E+036, 1
5.23153E+015, 1.22121E+036, 1
5.19570E+015, 1.21047E+036, 1
5.15987E+015, 1.19974E+036, 1
5.12404E+015, 1.18900E+036, 1
5.08820E+015, 1.17827E+036, 1
5.05237E+015, 1.16753E+036, 1
5.01654E+015, 1.15680E+036, 1
4.98071E+015, 1.14606E+036, 1
4.94487E+015, 1.13533E+036, 1
4.90904E+015, 1.12459E+036, 1
4.87321E+015, 1.11386E+036, 1
4.83738E+015, 1.10312E+036, 1
4.80154E+015, 1.09239E+036, 1
4.76571E+015, 1.08165E+036, 1
4.72988E+015, 1.07092E+036, 1
4.69405E+015, 1.06019E+036, 1
4.65821E+015, 1.04945E+036, 1
4.62238E+015, 1.03872E+036, 1
4.58655E+015, 1.02798E+036, 1
4.55072E+015, 1.01725E+036, 1
4.51488E+015, 1.00651E+036, 1
4.47905E+015, 9.95777E+035, 1
4.44322E+015, 9.85042E+035, 1
4.40739E+015, 9.74307E+035, 1
4.37155E+015, 9.63573E+035, 1
4.33572E+015, 9.52838E+035, 1
4.29989E+015, 9.42103E+035, 1
4.26406E+015, 9.31368E+035, 1
4.22823E+015, 9.20634E+035, 1
4.19239E+015, 9.09899E+035, 1
4.15656E+015, 8.99164E+035, 1
4.12073E+015, 8.88429E+035, 1
4.08490E+015, 8.77695E+035, 1
4.04906E+015, 8.66960E+035, 1
4.01323E+015, 8.56225E+035, 1
3.97740E+015, 8.45490E+035, 1
3.94157E+015, 8.34756E+035, 1
3.90573E+015, 8.24021E+035, 1
3.86990E+015, 8.13286E+035, 1
3.83407E+015, 8.02551E+035, 1
3.79824E+015, 7.91817E+035, 1
3.76240E+015, 7.81082E+035, 1
3.72657E+015, 7.70347E+035, 1
3.69074E+015, 7.59612E+035, 1
3.65491E+015, 7.48878E+035, 1
3.61907E+015, 7.38143E+035, 1
3.58324E+015, 7.27408E+035, 1
3.54741E+015, 7.16673E+035, 2
3.51158E+015, 7.05939E+035, 3
3.47574E+015, 6.95204E+035, 4
3.43991E+015, 6.84469E+035, 5
3.40408E+015, 6.73734E+035, 6
3.36825E+015, 6.63000E+035, 7
3.33241E+015, 6.52265E+035, 8
3.29658E+015, 6.41530E+035, 9
3.26075E+015, 6.30795E+035, 10
3.22492E+015, 6.20061E+035, 11
3.18908E+015, 6.09326E+035, 12
3.15325E+015, 5.98591E+035, 13
3.11742E+015, 5.87856E+035, 14
3.08159E+015, 5.77122E+035, 15
3.04576E+015, 5.66387E+035, 16
3.00992E+015, 5.55652E+035, 17
2.97409E+015, 5.44917E+035, 18
2.93826E+015, 5.34183E+035, 19
2.90243E+015, 5.23448E+035, 20
2.86659E+015, 5.12713E+035, 21
2.83076E+015, 5.01978E+035, 22
2.79493E+015, 4.91244E+035, 23
2.75910E+015, 4.80509E+035, 24
2.72326E+015, 4.69774E+035, 25
2.68743E+015, 4.59039E+035, 26
2.65160E+015, 4.48305E+035, 27
2.61577E+015, 4.37570E+035, 28
2.57993E+015, 4.26835E+035, 29
2.54410E+015, 4.16100E+035, 30
2.50827E+015, 4.05366E+035, 31
2.47244E+015, 3.94631E+035, 32
2.43660E+015, 3.83896E+035, 33
2.40077E+015, 3.73161E+035, 34
2.36494E+015, 3.62427E+035, 35
2.32911E+015, 3.51692E+035, 36
2.29327E+015, 3.40957E+035, 37
2.25744E+015, 3.30222E+035, 38
2.22161E+015, 3.19488E+035, 39
2.18578E+015, 3.08753E+035, 40
2.14994E+015, 2.98018E+035, 41
2.11411E+015, 2.87283E+035, 42
2.07828E+015, 2.76549E+035, 1
2.04245E+015, 2.65814E+035, 2
2.00662E+015, 2.55079E+035, 3
1.97078E+015, 2.44344E+035, 4
1.93495E+015, 2.33610E+035, 5
1.89912E+015, 2.22875E+035, 6
1.86329E+015, 2.12140E+035, 7
1.82745E+015, 2.01405E+035, 8
1.79162E+015, 1.90671E+035, 9
1.75579E+015, 1.79936E+035, 10
1.71996E+015, 1.69201E+035, 11
1.68412E+015, 1.58466E+035, 12
1.64829E+015, 1.47732E+035, 13
1.61246E+015, 1.36997E+035, 14
1.57663E+015, 1.26262E+035, 15
1.54079E+015, 1.15527E+035, 16
1.50496E+015, 1.04793E+035, 17
1.46913E+015, 9.40579E+034, 18
1.43330E+015, 8.33231E+034, 19
1.39746E+015, 7.25884E+034, 20
1.36163E+015, 6.18536E+034, 21
1.32580E+015, 5.11189E+034, 22
1.28997E+015, 4.03841E+034, 23
1.25413E+015, 2.96494E+034, 24
1.21830E+015, 1.89146E+034, 25
1.18247E+015, 8.17988E+033, 26
1.15912E+015, 0.00000E+000, 27
