#energia, pressao, nB, muB
1347.366258, 698.439685, 2.459874, 338.094887
1341.354011, 692.427439, 2.459874, 336.107690
1335.376417, 686.449845, 2.459874, 334.131946
1329.433476, 680.506904, 2.459874, 332.167656
1323.525188, 674.598615, 2.459874, 330.214820
1317.651552, 668.724980, 2.459874, 328.273437
1311.812569, 662.885997, 2.459874, 326.343508
1306.008239, 657.081667, 2.459874, 324.425032
1300.238561, 651.311989, 2.459874, 322.518010
1294.503537, 645.576964, 2.459874, 320.622442
1288.803165, 639.876592, 2.459874, 318.738327
1283.137445, 634.210873, 2.459874, 316.865666
1277.506379, 628.579806, 2.459874, 315.004458
1271.909965, 622.983392, 2.459874, 313.154704
1266.348203, 617.421631, 2.459874, 311.316404
1260.821095, 611.894523, 2.459874, 309.489557
1255.328639, 606.402067, 2.459874, 307.674164
1249.870836, 600.944264, 2.459874, 305.870224
1244.447686, 595.521114, 2.459874, 304.077738
1239.059188, 590.132616, 2.459874, 302.296705
1233.705343, 584.778771, 2.459874, 300.527126
1228.386151, 579.459579, 2.459874, 298.769001
1223.101612, 574.175039, 2.459874, 297.022329
1217.851725, 568.925153, 2.459874, 295.287111
1212.636491, 563.709919, 2.459874, 293.563346
1207.455910, 558.529337, 2.459874, 291.851035
1202.309981, 553.383409, 2.459874, 290.150178
1197.198705, 548.272133, 2.459874, 288.460774
1192.122082, 543.195510, 2.459874, 286.782823
1187.080112, 538.153539, 2.459874, 285.116327
1182.072794, 533.146222, 2.459874, 283.461284
1177.100129, 528.173557, 2.459874, 281.817694
1172.162117, 523.235544, 2.459874, 280.185558
1167.258757, 518.332185, 2.459874, 278.564876
1162.390050, 513.463478, 2.459874, 276.955647
1157.555996, 508.629424, 2.459874, 275.357872
1152.756595, 503.830022, 2.459874, 273.771550
1147.991846, 499.065274, 2.459874, 272.196682
1143.261750, 494.335178, 2.459874, 270.633268
1138.566307, 489.639734, 2.459874, 269.081307
1133.905516, 484.978944, 2.459874, 267.540800
1129.279378, 480.352806, 2.459874, 266.011746
1124.687893, 475.761321, 2.459874, 264.494146
1120.131061, 471.204489, 2.459874, 262.988000
1115.608881, 466.682309, 2.459874, 261.493307
1111.121354, 462.194782, 2.459874, 260.010067
1106.668480, 457.741908, 2.459874, 258.538282
1102.250258, 453.323686, 2.459874, 257.077949
1097.866690, 448.940117, 2.459874, 255.629071
1093.517774, 444.591201, 2.459874, 254.191646
1089.203510, 440.276938, 2.459874, 252.765674
1084.923900, 435.997327, 2.459874, 251.351157
1080.678942, 431.752369, 2.459874, 249.948092
1076.468636, 427.542064, 2.459874, 248.556482
1072.292984, 423.366412, 2.459874, 247.176325
1068.151984, 419.225412, 2.459874, 245.807621
1064.045637, 415.119065, 2.459874, 244.450371
1059.973943, 411.047371, 2.459874, 243.104575
1055.936901, 407.010329, 2.459874, 241.770232
1051.934512, 403.007940, 2.459874, 240.447343
1047.966776, 399.040204, 2.459874, 239.135908
1044.033693, 395.107120, 2.459874, 237.835926
1040.135262, 391.208690, 2.459874, 236.547397
1036.271484, 387.344912, 2.459874, 235.270322
1032.442359, 383.515786, 2.459874, 234.004701
1028.647886, 379.721314, 2.459874, 232.750534
1024.888066, 375.961494, 2.459874, 231.507820
1021.162899, 372.236327, 2.459874, 230.276559
1017.472384, 368.545812, 2.459874, 229.056752
1013.816523, 364.889950, 2.459874, 227.848399
1010.195314, 361.268741, 2.459874, 226.651499
1006.608757, 357.682185, 2.459874, 225.466053
1003.056854, 354.130282, 2.459874, 224.292061
999.539603, 350.613031, 2.459874, 223.129522
996.057005, 347.130433, 2.459874, 221.978436
992.609059, 343.682487, 2.459874, 220.838805
989.195767, 340.269194, 2.459874, 219.710627
985.817127, 336.890554, 2.459874, 218.593902
982.473139, 333.546567, 2.459874, 217.488631
979.163805, 330.237233, 2.459874, 216.394814
975.889123, 326.962551, 2.459874, 215.312450
972.649094, 323.722522, 2.459874, 214.241539
969.443718, 320.517145, 2.459874, 213.182083
966.272994, 317.346422, 2.459874, 212.134080
963.136923, 314.210351, 2.459874, 211.097530
960.035505, 311.108932, 2.459874, 210.072434
956.968739, 308.042167, 2.459874, 209.058792
953.936626, 305.010054, 2.459874, 208.056603
950.939166, 302.012594, 2.459874, 207.065868
947.976359, 299.049787, 2.459874, 206.086587
945.048204, 296.121632, 2.459874, 205.118759
942.154702, 293.228130, 2.459874, 204.162384
939.295853, 290.369281, 2.459874, 203.217463
912.257963, 279.829292, 2.399878, 206.980704
909.468419, 277.039748, 2.399878, 206.012013
894.678511, 270.451857, 2.369879, 207.454131
879.971670, 263.915404, 2.339881, 208.927521
806.406441, 238.693359, 2.159891, 224.023812
803.755508, 236.042426, 2.159891, 222.887323
801.139228, 233.426146, 2.159891, 221.765690
798.557600, 230.844518, 2.159891, 220.658913
796.010625, 228.297544, 2.159891, 219.566993
793.498303, 225.785221, 2.159891, 218.489928
779.384753, 219.613068, 2.129892, 220.216172
765.357764, 213.493605, 2.099894, 221.984162
694.563535, 189.415341, 1.919904, 239.818632
692.189824, 187.041630, 1.919904, 238.530682
689.850766, 184.702572, 1.919904, 237.261535
687.546360, 182.398166, 1.919904, 236.011189
685.276607, 180.128413, 1.919904, 234.779646
683.041507, 177.893313, 1.919904, 233.566905
669.634632, 172.147769, 1.889905, 235.678342
656.318528, 166.456426, 1.859907, 237.847486
599.275178, 146.990831, 1.709850, 255.257049
597.178688, 144.894342, 1.709850, 253.822859
595.116852, 142.832505, 1.709850, 252.412374
593.089668, 140.805321, 1.709850, 251.025595
591.097136, 138.812790, 1.709850, 249.662522
578.336644, 133.450695, 1.679846, 252.238581
565.673961, 128.145236, 1.649849, 254.893135
553.109814, 122.896674, 1.619859, 257.630066
540.639710, 117.703601, 1.589862, 260.455651
528.266918, 112.567095, 1.559864, 263.373501
515.992499, 107.487527, 1.529867, 266.388393
503.817427, 102.465244, 1.499870, 269.505500
491.741913, 97.500348, 1.469873, 272.730749
479.766970, 92.593200, 1.439876, 276.070176
467.891415, 87.743460, 1.409871, 279.531402
456.120891, 82.952970, 1.379874, 283.119194
444.456293, 78.222057, 1.349884, 286.841122
432.891511, 73.548816, 1.319881, 290.709385
421.434499, 68.935828, 1.289883, 294.729272
410.084075, 64.382763, 1.259886, 298.911861
398.857965, 59.895311, 1.229940, 303.257204
387.723514, 55.463134, 1.199942, 307.798341
376.683591, 51.087209, 1.169895, 312.548477
365.770916, 46.777991, 1.139898, 317.500073
354.970939, 42.530915, 1.109900, 322.679333
344.285025, 38.346479, 1.079904, 328.103387
333.714354, 34.225123, 1.049906, 333.791398
323.260532, 30.167429, 1.019909, 339.764314
312.926134, 26.174285, 0.989916, 346.044579
302.710717, 22.245633, 0.959918, 352.660257
292.617407, 18.382543, 0.929922, 359.639284
282.647293, 14.585450, 0.899925, 367.015306
272.811756, 10.858034, 0.869959, 374.814048
263.094159, 7.195154, 0.839960, 383.099414
253.496794, 3.597653, 0.809929, 391.921334
244.041148, 0.072397, 0.779932, 401.308846
