#  energia,    pressao,       nB,         muB,   muBGibbs
877.844648, 201.518075, 0.819958, 1316.363263, 396.824531
877.541154, 201.214581, 0.819958, 1315.622995, 398.064847
877.238777, 200.912205, 0.819958, 1314.885454, 399.315178
876.937519, 200.610946, 0.819958, 1314.150639, 400.575637
876.637378, 200.310806, 0.819958, 1313.418551, 401.846337
876.338355, 200.011783, 0.819958, 1312.689190, 403.127392
876.040450, 199.713878, 0.819958, 1311.962555, 404.418920
875.743663, 199.417090, 0.819958, 1311.238647, 405.721039
875.447993, 199.121421, 0.819958, 1310.517465, 407.033869
875.153442, 198.826870, 0.819958, 1309.799010, 408.357533
874.860008, 198.533436, 0.819958, 1309.083282, 409.692154
874.567692, 198.241120, 0.819958, 1308.370280, 411.037859
874.276494, 197.949922, 0.819958, 1307.660005, 412.394776
873.986414, 197.659842, 0.819958, 1306.952456, 413.763033
873.697452, 197.370880, 0.819958, 1306.247634, 415.142764
873.409607, 197.083035, 0.819958, 1305.545538, 416.534102
873.122881, 196.796309, 0.819958, 1304.846169, 417.937183
872.837272, 196.510700, 0.819958, 1304.149527, 419.352146
872.552781, 196.226209, 0.819958, 1303.455611, 420.779130
872.269408, 195.942836, 0.819958, 1302.764422, 422.218278
871.987153, 195.660581, 0.819958, 1302.075959, 423.669735
871.706015, 195.379443, 0.819958, 1301.390223, 425.133649
871.425996, 195.099424, 0.819958, 1300.707214, 426.610168
871.147094, 194.820522, 0.819958, 1300.026931, 428.099444
870.869310, 194.542738, 0.819958, 1299.349375, 429.601632
870.592644, 194.266072, 0.819958, 1298.674545, 431.116889
870.317096, 193.990524, 0.819958, 1298.002442, 432.645374
870.042666, 193.716093, 0.819958, 1297.333066, 434.187249
869.769353, 193.442781, 0.819958, 1296.666416, 435.742678
869.497158, 193.170586, 0.819958, 1296.002492, 437.311829
869.226082, 192.899509, 0.819958, 1295.341295, 438.894872
868.956123, 192.629550, 0.819958, 1294.682825, 440.491981
868.687282, 192.360709, 0.819958, 1294.027082, 442.103330
868.419558, 192.092986, 0.819958, 1293.374065, 443.729098
868.152953, 191.826381, 0.819958, 1292.723774, 445.369468
867.887465, 191.560893, 0.819958, 1292.076210, 447.024624
867.623095, 191.296523, 0.819958, 1291.431373, 448.694754
867.359844, 191.033271, 0.819958, 1290.789263, 450.380049
867.097709, 190.771137, 0.819958, 1290.149878, 452.080704
866.836693, 190.510121, 0.819958, 1289.513221, 453.796916
866.576795, 190.250223, 0.819958, 1288.879290, 455.528887
866.318014, 189.991442, 0.819958, 1288.248086, 457.276821
866.060352, 189.733779, 0.819958, 1287.619608, 459.040926
865.803807, 189.477234, 0.819958, 1286.993857, 460.821415
865.548380, 189.221807, 0.819958, 1286.370832, 462.618503
865.294070, 188.967498, 0.819958, 1285.750534, 464.432409
865.040879, 188.714307, 0.819958, 1285.132963, 466.263357
864.788806, 188.462233, 0.819958, 1284.518118, 468.111573
