# energia, pressao, rho, muB
2530.1686181982, 1007.7294564494, 4.04, 875.7173452101
2521.4166342881, 1003.5409584283, 4.03, 874.6793034052
2512.6750353377, 999.3591910644, 4.02, 873.640354826
2503.9438304116, 995.1841574705, 4.01, 872.6004957325
2495.223028654, 991.0158607866, 4, 871.5597223603
2486.5126392164, 986.8543041553, 3.99, 870.5180309197
2477.8126712958, 982.6994907354, 3.98, 869.4754175959
2469.1231341386, 978.5514237022, 3.97, 868.4318785488
2460.4440370107, 974.4101062384, 3.96, 867.3874099122
2451.7753892426, 970.2755415485, 3.95, 866.3420077946
2443.1172001751, 966.1477328411, 3.94, 865.2956682777
2434.4694792061, 962.0266833444, 3.93, 864.2483874173
2425.8322357686, 957.9123962988, 3.92, 863.2001612422
2417.2054793353, 953.8048749586, 3.91, 862.1509857545
2408.5892194314, 949.7041225959, 3.9, 861.1008569293
2399.9834655911, 945.6101424866, 3.89, 860.0497707138
2391.3882274119, 941.5229379282, 3.88, 858.9977230278
2382.8035145456, 937.4425122368, 3.87, 857.9447097636
2374.229336655, 933.3688687329, 3.86, 856.8907267848
2365.6657034616, 929.3020107569, 3.85, 855.8357699265
2357.1126247254, 925.2419416629, 3.84, 854.7798349955
2348.5701102411, 921.188664817, 3.83, 853.7229177691
2340.0381698598, 917.1421836047, 3.82, 852.6650139959
2331.5168134669, 913.1025014236, 3.81, 851.6061193945
2323.0060509951, 909.0696216875, 3.8, 850.546229654
2314.5058924117, 905.0435478226, 3.79, 849.485340433
2306.0163477456, 901.0242832761, 3.78, 848.4234473601
2297.5374270398, 897.0118315005, 3.77, 847.3605460328
2289.0691404148, 893.0061959749, 3.76, 846.2966320181
2280.611498006, 889.0073801838, 3.75, 845.231700851
2272.1645100134, 885.015387634, 3.74, 844.1657480356
2263.7281866871, 881.0302218496, 3.73, 843.0987690437
2255.302538293, 877.0518863608, 3.72, 842.0307593149
2246.8875751715, 873.0803847229, 3.71, 840.9617142564
2238.4833076936, 869.1157205024, 3.7, 839.8916292423
2230.0897462862, 865.1578972849, 3.69, 838.8204996137
2221.7069014297, 861.2069186747, 3.68, 837.7483206783
2213.3347836151, 857.2627882802, 3.67, 836.6750877095
2204.973403419, 853.3255097389, 3.66, 835.600795947
2196.6227714711, 849.3950867068, 3.65, 834.5254405959
2188.2828984072, 845.4715228428, 3.64, 833.449016826
2179.9537949379, 841.5548218312, 3.63, 832.3715197722
2171.6354718373, 837.6449873781, 3.62, 831.292944534
2163.3279398921, 833.7420231948, 3.61, 830.2132861746
2155.0312099784, 829.845933023, 3.6, 829.1325397213
2146.7452929815, 825.9567206081, 3.59, 828.0507001641
2138.4701998747, 822.0743897256, 3.58, 826.9677624567
2130.2059416501, 818.1989441583, 3.57, 825.8837215147
2121.9525293778, 814.3303877151, 3.56, 824.7985722166
2113.7099741593, 810.4687242169, 3.55, 823.712309402
2105.4782871621, 806.6139575067, 3.54, 822.6249278726
2097.2574795923, 802.7660914416, 3.53, 821.5364223904
2089.0475627256, 798.9251299023, 3.52, 820.4467876787
2080.8485478735, 795.0910767825, 3.51, 819.3560184205
2072.6604464073, 791.2639359966, 3.5, 818.2641092589
2064.483269759, 787.4437114799, 3.49, 817.1710547962
2056.3170294039, 783.6304071829, 3.48, 816.0768495937
2048.1617368792, 779.8240270777, 3.47, 814.9814881713
2040.01740377, 776.0245751532, 3.46, 813.8849650069
2031.8840417252, 772.2320554202, 3.45, 812.7872745359
2023.7616624533, 768.4464719104, 3.44, 811.6884111513
2015.6502776958, 764.6678286672, 3.43, 810.5883692023
2007.5498992787, 760.896129763, 3.42, 809.4871429948
1999.4605390715, 757.1313792858, 3.41, 808.3847267904
1991.3822089941, 753.373581341, 3.4, 807.2811148058
1983.3149210525, 749.6227400636, 3.39, 806.1763012131
1975.2586872725, 745.8788595963, 3.38, 805.070280138
1967.2135197663, 742.1419441113, 3.37, 803.9630456607
1959.1794306976, 738.4119977988, 3.36, 802.8545918145
1951.15643229, 734.6890248701, 3.35, 801.7449125857
1943.1445368323, 730.973029559, 3.34, 800.6340019129
1935.1437566588, 727.2640161155, 3.33, 799.5218536864
1927.1541041889, 723.5619888187, 3.32, 798.4084617482
1919.1755918723, 719.8669519589, 3.31, 797.2938198903
1911.2082322638, 716.1789098624, 3.3, 796.1779218561
1903.2520379399, 712.4978668636, 3.29, 795.0607613375
1895.3070215597, 708.8238273255, 3.28, 793.9423319762
1887.3731958418, 705.1567956319, 3.27, 792.8226273622
1879.4505735783, 701.4967761919, 3.26, 791.7016410336
1871.5391676118, 697.8437734329, 3.25, 790.5793664759
1863.6389908624, 694.1977918085, 3.24, 789.4557971213
1855.750056305, 690.5588357921, 3.23, 788.3309263481
1847.8723769976, 686.9269098857, 3.22, 787.2047474807
1840.0059660509, 683.3020186097, 3.21, 786.0772537881
1832.1508366363, 679.6841665061, 3.2, 784.9484384832
1824.3070020205, 676.0733581494, 3.19, 783.8182947236
1816.4744755082, 672.4695981282, 3.18, 782.6868156092
1808.6532704983, 668.8728910634, 3.17, 781.5539941828
1800.8434004406, 665.2832415938, 3.16, 780.4198234285
1793.0448788701, 661.700654388, 3.15, 779.284296272
1785.2577193817, 658.1251341355, 3.14, 778.1474055789
1777.4819356511, 654.5566855538, 3.13, 777.0091441548
1769.7175414187, 650.9953133835, 3.12, 775.8695047444
1761.9645505009, 647.4410223911, 3.11, 774.7284800303
