mit_bag_model_eos
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3]
261.306532663, 7.10210653266, 1
251.256281407, 3.75205628141, 1
241.206030151, 0.402006030151, 1
231.155778894, -2.94804422111, 1
221.105527638, -6.29809447236, 1
211.055276382, -9.64814472362, 1
201.005025126, -12.9981949749, 1
190.954773869, -16.3482452261, 1
180.904522613, -19.6982954774, 1
170.854271357, -23.0483457286, 1
160.804020101, -26.3983959799, 1
150.753768844, -29.7484462312, 1
140.703517588, -33.0984964824, 1
130.653266332, -36.4485467337, 1
120.603015075, -39.7985969849, 1
110.552763819, -43.1486472362, 1
100.502512563, -46.4986974874, 1
90.4522613065, -49.8487477387, 1
80.4020100503, -53.1987979899, 1
70.351758794, -56.5488482412, 1
60.3015075377, -59.8988984925, 1
50.2512562814, -63.2489487437, 1
40.2010050251, -66.598998995, 1
30.1507537688, -69.9490492462, 1
20.1005025126, -73.2990994975, 1
10.0502512563, -76.6491497487, 1
0.0, -79.9992, 1
