################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# quarks_eos_file_name = ../eos.mft.qcd.NUC/MFT.QCD.B_80_XI_0.0030.FULL.NUC.csv
# hadrons_eos_file_name = ../eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=662.4959302219999, sup_limit=3160.2875738644443)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3160.2875738644443)
#
# Transition pressure (hadrons) = [ 41.57328798] = [6.6607778e+34 erg/cm3]
# Transition pressure (quarks) = [ 41.57328798] = [6.6607778e+34 erg/cm3]
#
################################################################################
# rho, pressure, chem_potential
3.724185e+16, 4.892034e+36, 4.442876e-03
3.715905e+16, 4.879385e+36, 4.439289e-03
3.707628e+16, 4.866743e+36, 4.435703e-03
3.699370e+16, 4.854135e+36, 4.432116e-03
3.691115e+16, 4.841532e+36, 4.428530e-03
3.682876e+16, 4.828962e+36, 4.424943e-03
3.674643e+16, 4.816401e+36, 4.421357e-03
3.666423e+16, 4.803866e+36, 4.417770e-03
3.658212e+16, 4.791346e+36, 4.414184e-03
3.650011e+16, 4.778847e+36, 4.410597e-03
3.641822e+16, 4.766368e+36, 4.407011e-03
3.633641e+16, 4.753904e+36, 4.403424e-03
3.625474e+16, 4.741466e+36, 4.399837e-03
3.617312e+16, 4.729039e+36, 4.396251e-03
3.609166e+16, 4.716642e+36, 4.392664e-03
3.601024e+16, 4.704251e+36, 4.389078e-03
3.592900e+16, 4.691894e+36, 4.385491e-03
3.584779e+16, 4.679543e+36, 4.381905e-03
3.576675e+16, 4.667223e+36, 4.378318e-03
3.568576e+16, 4.654912e+36, 4.374732e-03
3.560491e+16, 4.642628e+36, 4.371145e-03
3.552413e+16, 4.630359e+36, 4.367559e-03
3.544348e+16, 4.618111e+36, 4.363972e-03
3.536292e+16, 4.605881e+36, 4.360386e-03
3.528246e+16, 4.593669e+36, 4.356799e-03
3.520212e+16, 4.581480e+36, 4.353213e-03
3.512186e+16, 4.569304e+36, 4.349626e-03
3.504174e+16, 4.557156e+36, 4.346040e-03
3.496166e+16, 4.545015e+36, 4.342453e-03
3.488176e+16, 4.532908e+36, 4.338867e-03
3.480188e+16, 4.520804e+36, 4.335280e-03
3.472219e+16, 4.508736e+36, 4.331694e-03
3.464253e+16, 4.496673e+36, 4.328107e-03
3.456304e+16, 4.484640e+36, 4.324521e-03
3.448360e+16, 4.472617e+36, 4.320934e-03
3.440429e+16, 4.460620e+36, 4.317348e-03
3.432507e+16, 4.448638e+36, 4.313761e-03
3.424596e+16, 4.436677e+36, 4.310175e-03
3.416695e+16, 4.424735e+36, 4.306588e-03
3.408804e+16, 4.412810e+36, 4.303002e-03
3.400925e+16, 4.400907e+36, 4.299415e-03
3.393052e+16, 4.389018e+36, 4.295829e-03
3.385195e+16, 4.377156e+36, 4.292242e-03
3.377342e+16, 4.365302e+36, 4.288656e-03
3.369506e+16, 4.353480e+36, 4.285069e-03
3.361673e+16, 4.341663e+36, 4.281483e-03
3.353859e+16, 4.329880e+36, 4.277896e-03
3.346047e+16, 4.318102e+36, 4.274310e-03
3.338252e+16, 4.306356e+36, 4.270723e-03
3.330461e+16, 4.294618e+36, 4.267137e-03
3.322686e+16, 4.282908e+36, 4.263550e-03
3.314917e+16, 4.271209e+36, 4.259964e-03
3.307162e+16, 4.259535e+36, 4.256377e-03
3.299414e+16, 4.247876e+36, 4.252791e-03
3.291678e+16, 4.236238e+36, 4.249204e-03
3.283952e+16, 4.224618e+36, 4.245618e-03
3.276236e+16, 4.213016e+36, 4.242031e-03
3.268531e+16, 4.201436e+36, 4.238445e-03
3.260834e+16, 4.189869e+36, 4.234858e-03
3.253151e+16, 4.178329e+36, 4.231272e-03
3.245473e+16, 4.166798e+36, 4.227685e-03
3.237812e+16, 4.155297e+36, 4.224099e-03
3.230154e+16, 4.143803e+36, 4.220512e-03
3.222514e+16, 4.132341e+36, 4.216926e-03
3.214875e+16, 4.120882e+36, 4.213339e-03
3.207256e+16, 4.109459e+36, 4.209753e-03
3.199640e+16, 4.098040e+36, 4.206166e-03
3.192040e+16, 4.086653e+36, 4.202580e-03
3.184444e+16, 4.075274e+36, 4.198993e-03
3.176864e+16, 4.063922e+36, 4.195407e-03
3.169290e+16, 4.052581e+36, 4.191820e-03
3.161730e+16, 4.041266e+36, 4.188234e-03
3.154177e+16, 4.029964e+36, 4.184647e-03
3.146636e+16, 4.018685e+36, 4.181061e-03
3.139104e+16, 4.007422e+36, 4.177474e-03
3.131583e+16, 3.996178e+36, 4.173888e-03
3.124073e+16, 3.984954e+36, 4.170301e-03
3.116571e+16, 3.973746e+36, 4.166715e-03
3.109082e+16, 3.962561e+36, 4.163128e-03
3.101600e+16, 3.951389e+36, 4.159542e-03
3.094132e+16, 3.940243e+36, 4.155955e-03
3.086670e+16, 3.929107e+36, 4.152369e-03
3.079223e+16, 3.918000e+36, 4.148782e-03
3.071781e+16, 3.906900e+36, 4.145196e-03
3.064355e+16, 3.895831e+36, 4.141609e-03
3.056932e+16, 3.884766e+36, 4.138023e-03
3.049528e+16, 3.873736e+36, 4.134436e-03
3.042125e+16, 3.862708e+36, 4.130850e-03
3.034741e+16, 3.851716e+36, 4.127263e-03
3.027360e+16, 3.840727e+36, 4.123677e-03
3.019996e+16, 3.829770e+36, 4.120090e-03
3.012635e+16, 3.818819e+36, 4.116504e-03
3.005291e+16, 3.807898e+36, 4.112917e-03
2.997951e+16, 3.796985e+36, 4.109331e-03
2.990627e+16, 3.786100e+36, 4.105744e-03
2.983308e+16, 3.775226e+36, 4.102158e-03
2.976003e+16, 3.764377e+36, 4.098571e-03
2.968705e+16, 3.753540e+36, 4.094985e-03
2.961420e+16, 3.742727e+36, 4.091398e-03
2.954144e+16, 3.731929e+36, 4.087812e-03
2.946879e+16, 3.721152e+36, 4.084225e-03
2.939623e+16, 3.710391e+36, 4.080639e-03
2.932377e+16, 3.699650e+36, 4.077052e-03
2.925143e+16, 3.688928e+36, 4.073465e-03
2.917917e+16, 3.678222e+36, 4.069879e-03
2.910703e+16, 3.667538e+36, 4.066292e-03
2.903497e+16, 3.656868e+36, 4.062706e-03
2.896304e+16, 3.646221e+36, 4.059119e-03
2.889118e+16, 3.635587e+36, 4.055533e-03
2.881946e+16, 3.624979e+36, 4.051946e-03
2.874780e+16, 3.614381e+36, 4.048360e-03
2.867628e+16, 3.603810e+36, 4.044773e-03
2.860482e+16, 3.593247e+36, 4.041187e-03
2.853351e+16, 3.582714e+36, 4.037600e-03
2.846225e+16, 3.572187e+36, 4.034014e-03
2.839115e+16, 3.561691e+36, 4.030427e-03
2.832009e+16, 3.551201e+36, 4.026841e-03
2.824920e+16, 3.540742e+36, 4.023254e-03
2.817833e+16, 3.530287e+36, 4.019668e-03
2.810765e+16, 3.519866e+36, 4.016081e-03
2.803698e+16, 3.509447e+36, 4.012495e-03
2.796650e+16, 3.499063e+36, 4.008908e-03
2.789603e+16, 3.488681e+36, 4.005322e-03
2.782576e+16, 3.478334e+36, 4.001735e-03
2.775550e+16, 3.467989e+36, 3.998149e-03
2.768543e+16, 3.457677e+36, 3.994562e-03
2.761537e+16, 3.447369e+36, 3.990976e-03
2.754550e+16, 3.437093e+36, 3.987389e-03
2.747565e+16, 3.426822e+36, 3.983803e-03
2.740598e+16, 3.416583e+36, 3.980216e-03
2.733634e+16, 3.406348e+36, 3.976630e-03
2.726687e+16, 3.396145e+36, 3.973043e-03
2.719743e+16, 3.385947e+36, 3.969457e-03
2.712815e+16, 3.375779e+36, 3.965870e-03
2.705892e+16, 3.365618e+36, 3.962284e-03
2.698985e+16, 3.355486e+36, 3.958697e-03
2.692082e+16, 3.345362e+36, 3.955111e-03
2.685195e+16, 3.335266e+36, 3.951524e-03
2.678312e+16, 3.325178e+36, 3.947938e-03
2.671445e+16, 3.315118e+36, 3.944351e-03
2.664583e+16, 3.305067e+36, 3.940765e-03
2.657736e+16, 3.295043e+36, 3.937178e-03
2.650894e+16, 3.285028e+36, 3.933592e-03
2.644067e+16, 3.275040e+36, 3.930005e-03
2.637246e+16, 3.265061e+36, 3.926419e-03
2.630439e+16, 3.255109e+36, 3.922832e-03
2.623638e+16, 3.245167e+36, 3.919246e-03
2.616851e+16, 3.235250e+36, 3.915659e-03
2.610070e+16, 3.225344e+36, 3.912073e-03
2.603303e+16, 3.215463e+36, 3.908486e-03
2.596542e+16, 3.205594e+36, 3.904900e-03
2.589796e+16, 3.195749e+36, 3.901313e-03
2.583056e+16, 3.185915e+36, 3.897727e-03
2.576329e+16, 3.176106e+36, 3.894140e-03
2.569609e+16, 3.166308e+36, 3.890554e-03
2.562903e+16, 3.156535e+36, 3.886967e-03
2.556203e+16, 3.146773e+36, 3.883381e-03
2.549516e+16, 3.137036e+36, 3.879794e-03
2.542837e+16, 3.127309e+36, 3.876208e-03
2.536170e+16, 3.117608e+36, 3.872621e-03
2.529511e+16, 3.107918e+36, 3.869035e-03
2.522865e+16, 3.098252e+36, 3.865448e-03
2.516225e+16, 3.088597e+36, 3.861862e-03
2.509600e+16, 3.078967e+36, 3.858275e-03
2.502980e+16, 3.069348e+36, 3.854689e-03
2.496375e+16, 3.059754e+36, 3.851102e-03
2.489775e+16, 3.050170e+36, 3.847516e-03
2.483190e+16, 3.040612e+36, 3.843929e-03
2.476610e+16, 3.031064e+36, 3.840343e-03
2.470045e+16, 3.021541e+36, 3.836756e-03
2.463486e+16, 3.012028e+36, 3.833170e-03
2.456941e+16, 3.002542e+36, 3.829583e-03
2.450401e+16, 2.993064e+36, 3.825997e-03
2.443877e+16, 2.983613e+36, 3.822410e-03
2.437357e+16, 2.974171e+36, 3.818824e-03
2.430853e+16, 2.964756e+36, 3.815237e-03
2.424352e+16, 2.955348e+36, 3.811651e-03
2.417869e+16, 2.945969e+36, 3.808064e-03
2.411388e+16, 2.936596e+36, 3.804478e-03
2.404925e+16, 2.927253e+36, 3.800891e-03
2.398464e+16, 2.917915e+36, 3.797305e-03
2.392021e+16, 2.908608e+36, 3.793718e-03
2.385580e+16, 2.899305e+36, 3.790132e-03
2.379158e+16, 2.890034e+36, 3.786545e-03
2.372736e+16, 2.880765e+36, 3.782959e-03
2.366334e+16, 2.871529e+36, 3.779372e-03
2.359932e+16, 2.862295e+36, 3.775786e-03
2.353551e+16, 2.853096e+36, 3.772199e-03
2.347169e+16, 2.843896e+36, 3.768613e-03
2.340807e+16, 2.834733e+36, 3.765026e-03
2.334446e+16, 2.825569e+36, 3.761440e-03
2.328104e+16, 2.816440e+36, 3.757853e-03
2.321763e+16, 2.807312e+36, 3.754267e-03
2.315440e+16, 2.798217e+36, 3.750680e-03
2.309119e+16, 2.789125e+36, 3.747093e-03
2.302816e+16, 2.780064e+36, 3.743507e-03
2.296516e+16, 2.771008e+36, 3.739920e-03
2.290233e+16, 2.761981e+36, 3.736334e-03
2.283953e+16, 2.752961e+36, 3.732747e-03
2.277689e+16, 2.743968e+36, 3.729161e-03
2.271430e+16, 2.734983e+36, 3.725574e-03
2.265185e+16, 2.726024e+36, 3.721988e-03
2.258947e+16, 2.717076e+36, 3.718401e-03
2.252721e+16, 2.708151e+36, 3.714815e-03
2.246503e+16, 2.699238e+36, 3.711228e-03
2.240297e+16, 2.690347e+36, 3.707642e-03
2.234100e+16, 2.681470e+36, 3.704055e-03
2.227913e+16, 2.672612e+36, 3.700469e-03
2.221736e+16, 2.663771e+36, 3.696882e-03
2.215568e+16, 2.654947e+36, 3.693296e-03
2.209412e+16, 2.646142e+36, 3.689709e-03
2.203263e+16, 2.637351e+36, 3.686123e-03
2.197128e+16, 2.628582e+36, 3.682536e-03
