#rho, x, y, z, w, energia, pressao, energiamit, pressaomit, (pressao/pressaomit), fermie, fermip, hardgluons, muB
0.61, 1.8191983622257353, 1.8951650547492953, 1.7362459142770323, 0.07608013151426517, 594.4358155868044, 84.73867500249503, 592.3560695151762, 82.65892893086675, 1.0251605736794354, 516.6560695151761, 158.35892893086674, 2.0797460716282736, 1113.400804244753
0.62, 1.8290850479856129, 1.9046757837102726, 1.7466222061890713, 0.0757032603190806, 605.5989358534233, 88.3134607066315, 603.4504424647268, 86.16496731793518, 1.0249346510022888, 527.7504424647269, 161.86496731793517, 2.148493388696341, 1119.213542838798
0.63, 1.8388659998331256, 1.9140882540732485, 1.756881650675722, 0.07533387963721715, 616.8198842648536, 91.9091262279698, 614.6015257165352, 89.69076767965142, 1.0247334102016128, 538.9015257165352, 165.39076767965142, 2.2183585483183608, 1124.9666833219417
0.64, 1.8485440000173625, 1.9234049898472, 1.767027460191055, 0.07497173074023063, 628.0980726097235, 95.52545986800877, 625.8087310592292, 93.23611831751442, 1.0245542349017365, 550.1087310592293, 168.93611831751443, 2.289341550494332, 1130.6617694964568
0.65, 1.858121715473549, 1.9326284123374649, 1.7770627085936668, 0.07461656754715683, 639.4329277972787, 99.16225546398321, 637.0714854020545, 96.80081306875894, 1.0243948611624463, 561.3714854020544, 172.50081306875896, 2.3614423952242563, 1136.3002819404028
0.66, 1.8676017042898299, 1.9417608458205338, 1.786990339218742, 0.07426815582310638, 650.8238912370489, 102.8193121600046, 648.3892301545407, 100.38465107749647, 1.0242533201677275, 572.6892301545407, 176.08465107749646, 2.4346610825081325, 1141.883641510687
0.67, 1.876986421733057, 1.9508045228407755, 1.7968131723792553, 0.07392627239772184, 662.2704182719124, 106.49643419692359, 659.7614206595664, 103.98743658457765, 1.0241278917410879, 584.0614206595664, 179.68743658457765, 2.5089976123459614, 1147.4132126400536
0.6799999999999999, 1.8862782258292818, 1.959761589116191, 1.8065339122957782, 0.07359070459222405, 673.7719776065518, 110.19343070248, 671.1875256218141, 107.60897871774229, 1.0240170663780457, 595.487525621814, 183.3089787177423, 2.5844519847377416, 1152.8903063368116
0.69, 1.8954793826001108, 1.9686341081448506, 1.8161551535734124, 0.07326124949949989, 685.3280508090411, 113.91011550619129, 682.6670266093575, 111.24909130650782, 1.0239195140241817, 606.9670266093575, 186.94909130650782, 2.661024199683475, 1158.3161830655542
0.7, 1.9045920709209132, 1.977424065486942, 1.8256793872053687, 0.07293771342983024, 696.9381318125269, 117.64630695574334, 694.1994175553438, 114.90759269856017, 1.0238340582451126, 618.4994175553437, 190.60759269856015, 2.7387142571831604, 1163.692055383243
0.71, 1.9136183870556733, 1.9861333727629966, 1.8351090061636837, 0.07261991139022807, 708.6017264402653, 121.40182774213392, 705.7842042830284, 118.58430558489711, 1.0237596547312044, 630.0842042830285, 194.2843055848971, 2.817522157236799, 1169.0190903977455
0.72, 1.922560348916583, 1.994763871405323, 1.844446310621113, 0.07230766657484375, 720.3183519729865, 125.17650473962951, 717.4209040731421, 122.27905683978511, 1.0236953733102534, 641.7209040731422, 197.97905683978513, 2.897447899844389, 1174.2984121008556
0.73, 1.931419900026234, 2.0033173361651784, 1.8536935128224643, 0.07200080987752033, 732.0875367256834, 128.97016884974778, 729.1090452406775, 125.99167736474183, 1.0236403828197582, 653.4090452406774, 201.69167736474185, 2.9784914850059314, 1179.5311035279879
0.74, 1.9401989132370496, 2.0117954783942733, 1.8628527416271397, 0.07169917950574305, 743.9088196433913, 132.7826548525225, 740.8481667306698, 129.72200193980112, 1.0235939383215942, 665.1481667306699, 205.42200193980113, 3.060652912721426, 1184.718208778262
0.75, 1.9488991942212999, 2.020199949134153, 1.8719260467712808, 0.07140262051931123, 755.7817499300535, 136.61380126924027, 752.6378177470626, 133.4698690862494, 1.0235553702458435, 676.9378177470626, 209.1698690862494, 3.1439321829908735, 1189.8607349323916
0.76, 1.957522484739469, 2.028532342004314, 1.880915402844509, 0.07111098447867628, 767.7058866819414, 140.4634502276445, 764.4775573861272, 137.23512093183024, 1.0235240751339294, 688.7775573861272, 212.93512093183023, 3.228329295814273, 1194.9596538284027
0.77, 1.966070465707245, 2.0367941959231617, 1.889822713020005, 0.07082412913335694, 779.680798543176, 144.33144733506055, 776.3669542919843, 141.01760308386895, 1.0234995077119606, 700.6669542919843, 216.71760308386894, 3.313844251191625, 1200.0159037379697
0.78, 1.9745447600812245, 2.0449869976630795, 1.898649812553853, 0.07054191803537899, 791.7060633780718, 148.21764155770063, 788.305586328949, 144.8171645085777, 1.0234811740767202, 712.6055863289489, 220.5171645085777, 3.4004770491229293, 1205.0303909432978
