 energia, pressao,+ACM-rho, muB
3712.8209093659,1118.8022172723,2.67,1809.5966766435
3694.7363876682,1112.6996391631,2.66,1807.3067770042
3676.6747919942,1106.6055940079,2.65,1805.0114664159
3658.6361766194,1100.5201005954,2.64,1802.7107110662
3640.6205961698,1094.443177837,2.63,1800.4044768086
3622.6281055948,1088.3748447579,2.62,1798.0927291423
3604.6587602137,1082.3151205125,2.61,1795.7754332284
3586.7126156812,1076.2640243733,2.6,1793.4525538671
3568.789728001,1070.2215757352,2.59,1791.1240554966
3550.8901535589,1064.1877941267,2.58,1788.7899022037
3533.0139490724,1058.1626991933,2.57,1786.4500576909
3515.1611716351,1052.1463107122,2.56,1784.1044852919
3497.3318787262,1046.1386485957,2.55,1781.7531479694
3479.526128166,1040.1397328764,2.54,1779.3960082844
3461.7439781704,1034.1495837252,2.53,1777.0330284172
3443.9854873344,1028.1682214464,2.52,1774.6641701511
3426.2507146342,1022.1956664781,2.51,1772.2893948655
3408.5397194423,1016.2319393972,2.5,1769.9086635358
3390.8525615045,1010.2770609125,2.49,1767.5219367137
3373.189300977,1004.3310518763,2.48,1765.1291745376
3355.549998417,998.3939332819,2.47,1762.7303367202
3337.9347147833,992.4657262637,2.46,1760.3253825394
3320.3435114409,986.546452099,2.45,1757.9142708326
3302.7764501843,980.6361322155,2.44,1755.4969599999
3285.2335932096,974.7347881824,2.43,1753.0734079803
3267.7150031341,968.8424417174,2.42,1750.6435722527
3250.220743014,962.9591146916,2.41,1748.2074098363
3232.7508763365,957.084829128,2.4,1745.7648772769
3215.3054670091,951.2196071978,2.39,1743.3159306305
3197.8845794176,945.3634712392,2.38,1740.8605254861
3180.4882783516,939.5164437339,2.37,1738.3986169137
3163.1166290765,933.6785473299,2.36,1735.9301594942
3145.7696973159,927.8498048366,2.35,1733.455107299
3128.4475492441,922.0302392223,2.34,1730.9734138745
3111.1502515071,916.2198736208,2.33,1728.4850322437
3093.8778712251,910.418731333,2.32,1725.9899148958
3076.6304759956,904.6268358278,2.31,1723.4880137764
3059.4081339062,898.8442107463,2.3,1720.9792802837
3042.2109135223,893.0708798981,2.29,1718.4636652491
3025.0388838866,887.3068672614,2.28,1715.9411189246
3007.8921145936,881.5521970071,2.27,1713.4115910135
2990.7706756975,875.8068934693,2.26,1710.8750306048
2973.6746377877,870.0709811702,2.25,1708.3313862035
2956.6040719547,864.3444848086,2.24,1705.7806056979
2939.559049827,858.6274292726,2.23,1703.2226363676
2922.5396435552,852.9198396346,2.22,1700.6574248603
2905.5459258403,847.2217411604,2.21,1698.0849171949
2888.5779699156,841.5331593037,2.2,1695.505058736
2871.6358495573,835.8541197097,2.19,1692.9177941858
2854.719639113,830.1846482247,2.18,1690.3230675861
2837.8294134713,824.5247708864,2.17,1687.7208222847
2820.9652481278,818.8745139452,2.16,1685.1110009598
2804.1272191165,813.2339038428,2.15,1682.4935455624
2787.3154030714,807.6029672318,2.14,1679.8683973379
2770.5298772183,801.9817309736,2.13,1677.2354968037
2753.7707193923,796.3702221443,2.12,1674.5947837436
2737.0380080097,790.7684680257,2.11,1671.9461971732
2720.3318221191,785.1764961222,2.1,1669.289675353
2703.6522413865,779.5943341563,2.09,1666.6251557621
2686.9993461019,774.0220100707,2.08,1663.952575083
2670.3732172023,768.4595520365,2.07,1661.2718691975
2653.7739362511,762.9069884464,2.06,1658.5829731541
2637.20158549,757.3643479317,2.05,1655.8858211813
2620.6562478058,751.8316593524,2.04,1653.1803466462
2604.1380067709,746.3089518099,2.03,1650.4664820595
2587.6469466034,740.7962546349,2.02,1647.7441590288
2571.1831522517,735.2935974149,2.01,1645.0133082918
2554.7467093444,729.8010099781,2,1642.2738596612
2538.3377042114,724.3185224008,1.99,1639.5257420162
2521.9562238934,718.8461650109,1.98,1636.768883285
2505.6023561782,713.3839683995,1.97,1634.0032104455
2489.276189571,707.9319634121,1.96,1631.2286494812
2472.9778133258,702.4901811587,1.95,1628.4451253766
2456.707317463,697.0586530202,1.94,1625.6525621048
2440.4647927381,691.6374106384,1.93,1622.8508825785
2424.2503307234,686.226485943,1.92,1620.0400086804
2408.0640237575,680.8259111352,1.91,1617.2198612003
2391.9059649641,675.4357186945,1.9,1614.3903598203
2375.7762482903,670.0559413917,1.89,1611.5514231122
2359.6749685078,664.6866122891,1.88,1608.702968509
2343.6022212126,659.3277647412,1.87,1605.8449122747
2327.5581028445,653.9794324012,1.86,1602.9771694869
2311.5427106932,648.6416492236,1.85,1600.0996540091
