rho,x,y,z,w,energia,pressao,energiamit,pressaomit,(pressao/pressaomit),fermie,fermip,hardgluons,nu,nd,ns,ne,nB,muB,muBGibbs
1.82,2.6189314694,2.6728816216,2.5626539863,0.0540036061,863.6535553385,250.4609089694,783.1520848018,169.9594384326,1.4736510739,723.1520848018,229.9594384326,80.5014705367,1.8200053192,1.9348149265,1.7051797542,5.3192117846903E-006,1.82,612.1508045653,612.1508045648
1.81,2.6141261074,2.6681713028,2.557740681,0.0540989443,857.5391515204,247.8812571587,777.9198822216,168.2619878599,1.4731863109,717.9198822216,228.2619878599,79.6192692988,1.8100053474,1.9246039872,1.6953906654,5.34743322936233E-006,1.81,610.7295075562,610.7295075575
1.8,2.6093030136,2.6634439324,2.5528088199,0.0541949645,851.4389776841,245.3096678956,772.6970490103,166.5677392218,1.4727321692,712.6970490103,226.5677392218,78.7419286738,1.800005376,1.914392268,1.685602356,0.000005376,1.8,609.304803101,609.3048030998
1.79,2.6044620235,2.6586993545,2.5478582276,0.0542916751,845.3530680734,242.7461531404,767.4836194117,164.8767044788,1.4722889683,707.4836194117,224.8767044788,77.8694486616,1.7900054048,1.9041797617,1.6758148336,5.40478876317834E-006,1.79,607.8766598955,607.876659896
1.78,2.5996029702,2.653937411,2.5428887257,0.0543890851,839.2814572241,240.1907249582,762.2796279618,163.1888956959,1.4718570399,702.2796279618,223.1888956959,77.0018292624,1.7800054339,1.8939664608,1.6660281052,5.43393277433671E-006,1.78,606.4450461704,606.4450461698
1.77,2.5947256842,2.6491579412,2.5379001335,0.0544872034,833.2241800076,237.6433955322,757.0851095316,161.5043250563,1.4714367275,697.0851095316,221.5043250563,76.139070476,1.7700054634,1.883752358,1.6562421786,5.46339440056733E-006,1.77,605.0099296842,605.0099296835
1.76,2.5898299934,2.6443607824,2.5328922673,0.054586039,827.1812716143,235.1041771592,751.9000993118,159.8230048568,1.4710283877,691.9000993118,219.8230048568,75.2811723024,1.7600054932,1.8735374457,1.6464570611,5.49317889595269E-006,1.76,603.5712777126,603.5712777122
1.75,2.5849157234,2.6395457691,2.5278649404,0.0546856012,821.1527675622,232.5730822523,746.7246328204,158.1449475105,1.4706323908,686.7246328204,218.1449475105,74.4281347418,1.7500055233,1.8633217161,1.6366727606,5.52329161387944E-006,1.75,602.1290570382,602.1290570368
1.74,2.5799826968,2.6347127334,2.5228179637,0.0547858995,815.1387037118,230.0501233457,741.5587459178,156.4701655516,1.4702491209,681.5587459178,216.4701655516,73.5799577941,1.7400055537,1.8531051615,1.6268892847,5.55373802448203E-006,1.74,600.6832339413,600.6832339411
1.73,2.5750307336,2.629861505,2.5177511445,0.0548869435,809.139116254,227.5353130913,736.4024747948,154.7986716321,1.4698789769,676.4024747948,214.7986716321,72.7366414592,1.7300055845,1.8428877739,1.6171066416,5.58452373070188E-006,1.73,599.2337741878,599.2337741881
1.72,2.570059651,2.6249919109,2.5126642877,0.054988743,803.1540417294,225.028664265,731.2558559922,153.1304785278,1.4695223735,671.2558559922,213.1304785278,71.8981857372,1.7200056157,1.8326695452,1.6073248391,5.61565445721618E-006,1.72,597.7806430197,597.78064302
1.71,2.5650692634,2.6201037754,2.5075571946,0.055091308,797.1835170289,222.530189767,726.1189264008,151.4655991389,1.4691797414,666.1189264008,211.4655991389,71.0645906281,1.7100056471,1.8224504673,1.5975438856,5.64713606264139E-006,1.71,596.3238051433,596.3238051438
1.7,2.5600593823,2.6151969202,2.5024296636,0.0551946487,791.2275793966,220.039902623,720.9917232647,149.8040464912,1.4688515282,660.9917232647,209.8040464912,70.2358561319,1.700005679,1.8122305318,1.5877637892,0.000005679,1.7,594.863224718,594.8632247174
1.69,2.5550298162,2.610271164,2.4972814899,0.0552987754,785.2862664442,217.5578159892,715.8742841957,148.1458337407,1.4685381998,655.8742841957,208.1458337407,69.4119822485,1.6900057112,1.8020097303,1.5779845585,5.71117598401562E-006,1.69,593.398865345,593.3988653452
1.68,2.5499803706,2.6053263231,2.4921124653,0.0554036988,779.3596161425,215.0839431494,710.7666471644,146.4909741714,1.4682402405,650.7666471644,206.4909741714,68.5929689781,1.6800057437,1.7917880543,1.568206202,5.74374669086502E-006,1.68,591.9306900541,591.9306900547
1.67,2.5449108478,2.6003622104,2.4869223782,0.0555094296,773.4476668378,212.6182975209,705.6688505173,144.8394812004,1.4679581545,645.6688505173,204.8394812004,67.7788163205,1.6700057767,1.7815654949,1.5584287284,5.77669306984822E-006,1.67,590.4586612921,590.4586612926
1.66,2.5398210472,2.5953786362,2.4817110137,0.0556159787,767.5504572569,210.160892656,700.5809329811,143.1913683802,1.4676924666,640.5809329811,203.1913683802,66.9695242758,1.66000581,1.7713420434,1.5486521465,0.00000581,1.66,588.9827409104,588.9827409113
1.65,2.5347107647,2.5903754077,2.4764781531,0.0557233575,761.6680265084,207.7117422428,695.5029336645,141.5466493989,1.4674437235,635.5029336645,201.5466493989,66.1650928439,1.6500058437,1.7611176908,1.5388764655,5.84373922252116E-006,1.65,587.5028901509,587.5028901523
1.64,2.5295797929,2.585352329,2.4712235745,0.0558315773,755.8004140896,205.2708601079,690.4348920646,139.9053380829,1.4672124947,630.4348920646,199.9053380829,65.365522025,1.6400058779,1.7508924279,1.5291016943,5.87785260134443E-006,1.64,586.0190696332,586.0190696326
1.63,2.5244279213,2.580309201,2.4659470519,0.0559406497,749.9476599049,202.8382602219,685.3768480859,138.2674484029,1.4669993738,625.3768480859,198.2674484029,64.5708118189,1.6300059124,1.7406662453,1.5193278423,5.91236882560343E-006,1.63,584.5312393415,584.5312393416
1.62,2.5192549357,2.5752458214,2.4606483558,0.0560505867,744.1098042509,200.4139566956,680.3288420251,136.6329944698,1.4668049798,620.3288420251,196.6329944698,63.7809622258,1.6200059473,1.7304391338,1.509554919,5.94729511487152E-006,1.62,583.0393586083,583.039358609
1.61,2.5140606184,2.5701619847,2.4553272527,0.0561614005,738.2868878362,197.9979637861,675.2909145907,135.0019905406,1.4666299585,615.2909145907,195.0019905406,62.9959732455,1.6100059826,1.7202110835,1.4997829338,5.98263885793583E-006,1.61,581.5433861013,581.5433861008
1.6,2.5088447481,2.565057482,2.4499835053,0.0562731033,732.4789517915,195.5902959005,670.2631069134,133.3744510225,1.4664749838,610.2631069134,193.3744510225,62.2158448781,1.6000060184,1.7099820849,1.4900118966,6.0184075987338E-006,1.6,580.0432798087,580.0432798075
1.59,2.5036070999,2.5599321008,2.444616872,0.0563857077,726.6860376695,193.1909675963,665.245460546,131.7503904728,1.4663407592,605.245460546,191.7503904728,61.4405771235,1.5900060546,1.699752128,1.4802418174,6.05460907664438E-006,1.59,578.5389970224,578.5389970225
1.58,2.498347445,2.5547856253,2.4392271074,0.0564992268,720.9081874474,190.799993582,660.2380174656,130.1298236001,1.4662280199,600.2380174656,190.1298236001,60.6701699819,1.5800060913,1.6895212026,1.4704727061,6.09125123898394E-006,1.58,577.0304943225,577.0304943224
1.57,2.4930655508,2.549617836,2.4338139616,0.0566136735,715.1454435473,188.4173887243,655.2408200942,128.5127652712,1.4661375337,595.2408200942,188.5127652712,59.9046234531,1.5700061283,1.6792892986,1.4607045731,6.12834220377537E-006,1.57,575.5177275613,575.5177275615
1.56,2.4877611807,2.5444285095,2.4283771804,0.0567290614,709.3978488324,186.0431680473,650.2539112952,126.8992305101,1.4660701038,590.2539112952,186.8992305101,59.1439375372,1.5600061659,1.6690564054,1.4509374287,6.16589030647164E-006,1.56,574.0006518459,574.000651846
1.55,2.4824340941,2.5392174191,2.4229165053,0.0568454041,703.6654466206,183.6773467368,645.2773343864,125.2892345026,1.4660265702,585.2773343864,185.2892345026,58.3881122342,1.5500062039,1.6588225125,1.4411712836,6.20390408217235E-006,1.55,572.4792215213,572.4792215209
1.54,2.4770840461,2.5339843339,2.4174316731,0.0569627156,697.9482806918,181.319940143,640.3111331477,123.682792599,1.4660078119,580.3111331477,183.682792599,57.6371475441,1.5400062424,1.648587609,1.4314061486,6.24239227528032E-006,1.54,570.9533901521,570.9533901525
1.53,2.4717107878,2.5287290189,2.4119224161,0.0570810102,692.2463952889,178.9709637815,635.3553518221,122.0799203147,1.4660147494,575.3553518221,182.0799203147,56.8910434668,1.5300062814,1.638351684,1.4216420346,6.28136386977419E-006,1.53,569.4231105035,569.4231105035
1.52,2.4663140657,2.5234512356,2.4063884617,0.0572003025,686.5598351363,176.630433339,630.4100351338,120.4806333365,1.4660483469,570.4100351338,180.4806333365,56.1498000024,1.5200063208,1.6281147262,1.4118789529,6.32082806407985E-006,1.52,567.8883345233,567.8883345232
1.51,2.4608936221,2.5181507408,2.4008295323,0.0573206074,680.8886454426,174.298364675,625.4752282917,118.884947524,1.4661096153,565.4752282917,178.884947524,55.413417151,1.5100063608,1.6178767244,1.4021169148,6.36079428688697E-006,1.51,566.3490133221,566.3490133229
1.5,2.4554491944,2.5128272873,2.3952453456,0.05744194,675.2328719043,171.974773823,620.5509769919,117.2928789106,1.4661996143,560.5509769919,177.2928789106,54.6818949124,1.5000064013,1.6076376668,1.3923559319,6.40127223674023E-006,1.5,564.8050971516,564.8050971515
1.49,2.4499805158,2.5074806236,2.389635614,0.057564316,669.5925607282,169.6596769982,615.6373274415,115.7044437115,1.4663194563,555.6373274415,175.7044437115,53.9552332866,1.4900064423,1.5973975418,1.382596016,6.4422718275117E-006,1.49,563.2565353864,563.2565353868
1.48,2.4444873141,2.5021104936,2.3840000445,0.0576877512,663.9677586245,167.3530905956,610.7343263507,114.1196583218,1.4664703089,550.7343263507,174.1196583218,53.2334322738,1.4800064838,1.5871563372,1.372837179,6.48380325803239E-006,1.48,561.7032764998,561.7032765001
1.47,2.4389693128,2.4967166368,2.378338339,0.0578122619,658.3585128272,165.0550311968,605.8420209534,112.538539323,1.4666533988,545.8420209534,172.538539323,52.5164918738,1.4700065259,1.576914041,1.3630794331,6.52587698998241E-006,1.47,560.1452680434,560.1452680435
1.46,2.43342623,2.491298788,2.3726501936,0.0579378646,652.7648710979,162.7655155718,600.9604590111,110.961103485,1.4668700153,540.9604590111,170.961103485,51.8044120867,1.4600065685,1.5666706406,1.3533227909,6.56850375540943E-006,1.46,558.5824566235,558.582456623
1.45,2.4278577787,2.485856677,2.3669352988,0.0580645763,647.1868817401,160.4845606838,596.0896888275,109.3873677712,1.4671215146,536.0896888275,169.3873677712,51.0971929125,1.4500066117,1.5564261234,1.3435672649,6.61169457352515E-006,1.45,557.014787878,557.0147878785
1.44,2.4222636666,2.480390029,2.3611933394,0.0581924143,641.6245935984,158.2121836894,591.2297592472,107.8173493382,1.4674093238,531.2297592472,167.8173493382,50.3948343512,1.4400066555,1.5461804764,1.3338128681,6.65546077096689E-006,1.44,555.4422064506,555.4422064499
1.43,2.4166435961,2.4748985639,2.355423994,0.0583213965,636.0780560856,155.9484019478,586.3807196828,106.2510655451,1.467734946,526.3807196828,166.2510655451,49.6973364028,1.4300066998,1.5359336866,1.3240596136,6.69981396192842E-006,1.43,553.864655968,553.8646559674
1.42,2.4109972639,2.4693819966,2.3496269353,0.0584515409,630.5473191775,153.6932330194,581.5426201103,104.6885339522,1.4680999649,521.5426201103,164.6885339522,49.0046990672,1.4200067448,1.5256857405,1.3143075148,6.74476608652351E-006,1.42,552.2820790119,552.2820790119
1.41,2.4053243612,2.4638400366,2.3438018295,0.058582866,625.0324334299,151.4466946717,576.7155110853,103.1297723271,1.4685060507,516.7155110853,163.1297723271,48.3169223446,1.4100067903,1.5154366244,1.3045565852,6.79032941718678E-006,1.41,550.6944170931,550.6944170933
1.4,2.3996245729,2.4582723881,2.3379483366,0.0587153909,619.5334499891,149.2088048831,571.8994437543,101.5747986483,1.4689549659,511.8994437543,161.5747986483,47.6340062348,1.4000068365,1.5051863246,1.2948068389,6.83651655496011E-006,1.4,549.1016106234,549.1016106229
1.39,2.3938975785,2.4526787497,2.3320661095,0.058849135,614.0504206056,146.9795818479,567.0944698678,100.0236311101,1.4694485715,507.0944698678,160.0236311101,46.9559507378,1.3900068833,1.4949348267,1.2850582899,6.88334045581931E-006,1.39,547.5035988877,547.5035988875
