# Mass density, Pressure, Baryonic density
# Mev/fm^3, Mev/fm^3, fm^-3
3.056062e+15, 1.6839122e+36, 1e+39
3.054279e+15, 1.6807078e+36, 1e+39
3.052496e+15, 1.6791056e+36, 1e+39
3.050713e+15, 1.6775034e+36, 1e+39
3.04893e+15, 1.6759012e+36, 1e+39
3.047147e+15, 1.674299e+36, 1e+39
3.045364e+15, 1.6726968e+36, 1e+39
3.043581e+15, 1.6710946e+36, 1e+39
3.041798e+15, 1.6694924e+36, 1e+39
3.040015e+15, 1.6678902e+36, 1e+39
3.038232e+15, 1.666288e+36, 1e+39
3.036449e+15, 1.6646858e+36, 1e+39
3.034666e+15, 1.6630836e+36, 1e+39
3.032883e+15, 1.6614814e+36, 1e+39
3.0311e+15, 1.6598792e+36, 1e+39
3.029317e+15, 1.658277e+36, 1e+39
3.027534e+15, 1.6566748e+36, 1e+39
3.025751e+15, 1.6550726e+36, 1e+39
3.023968e+15, 1.6534704e+36, 1e+39
3.022185e+15, 1.6518682e+36, 1e+39
3.020402e+15, 1.650266e+36, 1e+39
3.018619e+15, 1.6486638e+36, 1e+39
3.016836e+15, 1.6470616e+36, 1e+39
3.015053e+15, 1.6454594e+36, 1e+39
3.01327e+15, 1.6438572e+36, 1e+39
3.011487e+15, 1.642255e+36, 1e+39
3.009704e+15, 1.6406528e+36, 1e+39
3.007921e+15, 1.6390506e+36, 1e+39
3.006138e+15, 1.6374484e+36, 1e+39
3.004355e+15, 1.6358462e+36, 1e+39
3.002572e+15, 1.634244e+36, 1e+39
3.000789e+15, 1.6326418e+36, 1e+39
2.999006e+15, 1.6310396e+36, 1e+39
2.997223e+15, 1.6294374e+36, 1e+39
2.99544e+15, 1.6278352e+36, 1e+39
2.993657e+15, 1.626233e+36, 1e+39
2.991874e+15, 1.6246308e+36, 1e+39
2.990091e+15, 1.6230286e+36, 1e+39
2.988308e+15, 1.6214264e+36, 1e+39
2.986525e+15, 1.6198242e+36, 1e+39
2.984742e+15, 1.618222e+36, 1e+39
2.982959e+15, 1.6166198e+36, 1e+39
2.981176e+15, 1.6150176e+36, 1e+39
2.979393e+15, 1.6134154e+36, 1e+39
2.97761e+15, 1.6118132e+36, 1e+39
2.975827e+15, 1.610211e+36, 1e+39
2.974044e+15, 1.6086088e+36, 1e+39
2.972261e+15, 1.6070066e+36, 1e+39
2.970478e+15, 1.6054044e+36, 1e+39
2.968695e+15, 1.6038022e+36, 1e+39
2.966912e+15, 1.6022e+36, 1e+39
2.965129e+15, 1.60107846e+36, 1e+39
2.963346e+15, 1.59947626e+36, 1e+39
2.961563e+15, 1.59803428e+36, 1e+39
2.95978e+15, 1.59643208e+36, 1e+39
2.957997e+15, 1.59482988e+36, 1e+39
2.956214e+15, 1.59322768e+36, 1e+39
2.954431e+15, 1.5917857e+36, 1e+39
2.952648e+15, 1.5901835e+36, 1e+39
2.950865e+15, 1.5885813e+36, 1e+39
2.949082e+15, 1.58713932e+36, 1e+39
2.947299e+15, 1.58553712e+36, 1e+39
2.945516e+15, 1.58393492e+36, 1e+39
2.943733e+15, 1.58249294e+36, 1e+39
2.94195e+15, 1.58089074e+36, 1e+39
2.940167e+15, 1.57928854e+36, 1e+39
2.938384e+15, 1.57784656e+36, 1e+39
2.936601e+15, 1.57624436e+36, 1e+39
2.934818e+15, 1.57464216e+36, 1e+39
2.933035e+15, 1.57320018e+36, 1e+39
2.931252e+15, 1.57159798e+36, 1e+39
2.929469e+15, 1.570156e+36, 1e+39
2.927686e+15, 1.5685538e+36, 1e+39
2.925903e+15, 1.5669516e+36, 1e+39
2.92412e+15, 1.56550962e+36, 1e+39
2.922337e+15, 1.56390742e+36, 1e+39
2.920554e+15, 1.56246544e+36, 1e+39
2.918771e+15, 1.56086324e+36, 1e+39
2.916988e+15, 1.55942126e+36, 1e+39
2.915205e+15, 1.55781906e+36, 1e+39
2.913422e+15, 1.55637708e+36, 1e+39
2.911639e+15, 1.55477488e+36, 1e+39
2.909856e+15, 1.5533329e+36, 1e+39
2.908073e+15, 1.5517307e+36, 1e+39
2.90629e+15, 1.55028872e+36, 1e+39
2.904507e+15, 1.54868652e+36, 1e+39
2.902724e+15, 1.54724454e+36, 1e+39
2.900941e+15, 1.54580256e+36, 1e+39
2.899158e+15, 1.54420036e+36, 1e+39
2.897375e+15, 1.54275838e+36, 1e+39
2.895592e+15, 1.54115618e+36, 1e+39
2.893809e+15, 1.5397142e+36, 1e+39
2.892026e+15, 1.53827222e+36, 1e+39
2.890243e+15, 1.53667002e+36, 1e+39
2.88846e+15, 1.53522804e+36, 1e+39
2.886677e+15, 1.53378606e+36, 1e+39
2.884894e+15, 1.53218386e+36, 1e+39
2.883111e+15, 1.53074188e+36, 1e+39
2.881328e+15, 1.5292999e+36, 1e+39
2.879545e+15, 1.5276977e+36, 1e+39
2.877762e+15, 1.52625572e+36, 1e+39
2.875979e+15, 1.52481374e+36, 1e+39
2.874196e+15, 1.52321154e+36, 1e+39
2.872413e+15, 1.52176956e+36, 1e+39
2.87063e+15, 1.52032758e+36, 1e+39
2.868847e+15, 1.51872538e+36, 1e+39
2.867064e+15, 1.5172834e+36, 1e+39
2.865281e+15, 1.51584142e+36, 1e+39
2.863498e+15, 1.51439944e+36, 1e+39
2.861715e+15, 1.51295746e+36, 1e+39
2.859932e+15, 1.51135526e+36, 1e+39
2.858149e+15, 1.50991328e+36, 1e+39
2.856366e+15, 1.5084713e+36, 1e+39
2.854583e+15, 1.50702932e+36, 1e+39
2.8528e+15, 1.50558734e+36, 1e+39
2.851017e+15, 1.50398514e+36, 1e+39
2.849234e+15, 1.50254316e+36, 1e+39
2.847451e+15, 1.50110118e+36, 1e+39
2.845668e+15, 1.4996592e+36, 1e+39
2.843885e+15, 1.49821722e+36, 1e+39
2.842102e+15, 1.49677524e+36, 1e+39
2.840319e+15, 1.49517304e+36, 1e+39
2.838536e+15, 1.49373106e+36, 1e+39
2.836753e+15, 1.49228908e+36, 1e+39
2.83497e+15, 1.4908471e+36, 1e+39
2.833187e+15, 1.48940512e+36, 1e+39
2.831404e+15, 1.48796314e+36, 1e+39
2.829621e+15, 1.48652116e+36, 1e+39
2.827838e+15, 1.48507918e+36, 1e+39
2.826055e+15, 1.4836372e+36, 1e+39
2.824272e+15, 1.48219522e+36, 1e+39
2.822489e+15, 1.48075324e+36, 1e+39
2.820706e+15, 1.47931126e+36, 1e+39
2.818923e+15, 1.47786928e+36, 1e+39
2.81714e+15, 1.4764273e+36, 1e+39
2.815357e+15, 1.47498532e+36, 1e+39
2.813574e+15, 1.47354334e+36, 1e+39
2.811791e+15, 1.47210136e+36, 1e+39
2.810008e+15, 1.47065938e+36, 1e+39
2.808225e+15, 1.4692174e+36, 1e+39
2.806442e+15, 1.46777542e+36, 1e+39
2.804659e+15, 1.46633344e+36, 1e+39
2.802876e+15, 1.46489146e+36, 1e+39
2.801093e+15, 1.46344948e+36, 1e+39
2.79931e+15, 1.4620075e+36, 1e+39
2.797527e+15, 1.46056552e+36, 1e+39
2.795744e+15, 1.45912354e+36, 1e+39
2.793961e+15, 1.45768156e+36, 1e+39
2.792178e+15, 1.45623958e+36, 1e+39
2.790395e+15, 1.45495782e+36, 1e+39
2.788612e+15, 1.45351584e+36, 1e+39
2.786829e+15, 1.45207386e+36, 1e+39
2.785046e+15, 1.45063188e+36, 1e+39
2.783263e+15, 1.4491899e+36, 1e+39
2.78148e+15, 1.44774792e+36, 1e+39
2.779697e+15, 1.44630594e+36, 1e+39
2.777914e+15, 1.44502418e+36, 1e+39
2.776131e+15, 1.4435822e+36, 1e+39
2.774348e+15, 1.44214022e+36, 1e+39
2.772565e+15, 1.44069824e+36, 1e+39
2.770782e+15, 1.43925626e+36, 1e+39
2.768999e+15, 1.4379745e+36, 1e+39
2.767216e+15, 1.43653252e+36, 1e+39
2.765433e+15, 1.43509054e+36, 1e+39
2.76365e+15, 1.43364856e+36, 1e+39
2.761867e+15, 1.4323668e+36, 1e+39
2.760084e+15, 1.43092482e+36, 1e+39
2.758301e+15, 1.42948284e+36, 1e+39
2.756518e+15, 1.42804086e+36, 1e+39
2.754735e+15, 1.4267591e+36, 1e+39
2.752952e+15, 1.42531712e+36, 1e+39
2.751169e+15, 1.42387514e+36, 1e+39
2.749386e+15, 1.42259338e+36, 1e+39
2.747603e+15, 1.4211514e+36, 1e+39
2.74582e+15, 1.41970942e+36, 1e+39
2.744037e+15, 1.41842766e+36, 1e+39
2.742254e+15, 1.41698568e+36, 1e+39
2.740471e+15, 1.4155437e+36, 1e+39
2.738688e+15, 1.41426194e+36, 1e+39
2.736905e+15, 1.41281996e+36, 1e+39
2.735122e+15, 1.41137798e+36, 1e+39
2.733339e+15, 1.41009622e+36, 1e+39
2.731556e+15, 1.40865424e+36, 1e+39
2.729773e+15, 1.40721226e+36, 1e+39
2.72799e+15, 1.4059305e+36, 1e+39
2.726207e+15, 1.40448852e+36, 1e+39
2.724424e+15, 1.40320676e+36, 1e+39
2.722641e+15, 1.40176478e+36, 1e+39
2.720858e+15, 1.4003228e+36, 1e+39
