# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
4.177484e+15, 1.471975e+36, 2e+39
4.176987e+15, 1.471710e+36, 2e+39
4.176491e+15, 1.471444e+36, 2e+39
4.175996e+15, 1.471179e+36, 2e+39
4.175499e+15, 1.470914e+36, 2e+39
4.175002e+15, 1.470649e+36, 2e+39
4.174505e+15, 1.470384e+36, 2e+39
4.174010e+15, 1.470119e+36, 2e+39
4.173513e+15, 1.469854e+36, 2e+39
4.173021e+15, 1.469589e+36, 2e+39
4.172524e+15, 1.469324e+36, 2e+39
4.172027e+15, 1.469059e+36, 2e+39
4.171532e+15, 1.468794e+36, 2e+39
4.171033e+15, 1.468529e+36, 2e+39
4.170536e+15, 1.468264e+36, 2e+39
4.170045e+15, 1.467999e+36, 2e+39
4.169547e+15, 1.467734e+36, 2e+39
4.169051e+15, 1.467469e+36, 2e+39
4.168558e+15, 1.467205e+36, 2e+39
4.168057e+15, 1.466940e+36, 2e+39
4.167564e+15, 1.466675e+36, 2e+39
4.167068e+15, 1.466410e+36, 2e+39
4.166571e+15, 1.466146e+36, 2e+39
4.166079e+15, 1.465881e+36, 2e+39
4.165582e+15, 1.465616e+36, 2e+39
4.165084e+15, 1.465352e+36, 2e+39
4.164590e+15, 1.465087e+36, 2e+39
4.164096e+15, 1.464822e+36, 2e+39
4.163597e+15, 1.464558e+36, 2e+39
4.163103e+15, 1.464293e+36, 2e+39
4.162607e+15, 1.464029e+36, 2e+39
4.162113e+15, 1.463764e+36, 2e+39
4.161615e+15, 1.463500e+36, 2e+39
4.161120e+15, 1.463235e+36, 2e+39
4.160624e+15, 1.462971e+36, 2e+39
4.160133e+15, 1.462706e+36, 2e+39
4.159635e+15, 1.462442e+36, 2e+39
4.159138e+15, 1.462177e+36, 2e+39
4.158643e+15, 1.461913e+36, 2e+39
4.158148e+15, 1.461649e+36, 2e+39
4.157654e+15, 1.461384e+36, 2e+39
4.157159e+15, 1.461120e+36, 2e+39
4.156663e+15, 1.460856e+36, 2e+39
4.156168e+15, 1.460592e+36, 2e+39
4.155672e+15, 1.460327e+36, 2e+39
4.155174e+15, 1.460063e+36, 2e+39
4.154682e+15, 1.459799e+36, 2e+39
4.154186e+15, 1.459535e+36, 2e+39
4.153692e+15, 1.459271e+36, 2e+39
4.153196e+15, 1.459007e+36, 2e+39
4.152700e+15, 1.458743e+36, 2e+39
4.152205e+15, 1.458479e+36, 2e+39
4.151711e+15, 1.458214e+36, 2e+39
4.151217e+15, 1.457950e+36, 2e+39
4.150720e+15, 1.457686e+36, 2e+39
4.150224e+15, 1.457422e+36, 2e+39
4.149730e+15, 1.457159e+36, 2e+39
4.149238e+15, 1.456895e+36, 2e+39
4.148742e+15, 1.456631e+36, 2e+39
4.148245e+15, 1.456367e+36, 2e+39
4.147753e+15, 1.456103e+36, 2e+39
4.147256e+15, 1.455839e+36, 2e+39
4.146762e+15, 1.455575e+36, 2e+39
4.146266e+15, 1.455311e+36, 2e+39
4.145772e+15, 1.455048e+36, 2e+39
4.145276e+15, 1.454784e+36, 2e+39
4.144781e+15, 1.454520e+36, 2e+39
4.144288e+15, 1.454257e+36, 2e+39
4.143790e+15, 1.453993e+36, 2e+39
4.143299e+15, 1.453729e+36, 2e+39
4.142802e+15, 1.453466e+36, 2e+39
4.142310e+15, 1.453202e+36, 2e+39
4.141812e+15, 1.452938e+36, 2e+39
4.141319e+15, 1.452675e+36, 2e+39
4.140826e+15, 1.452411e+36, 2e+39
4.140330e+15, 1.452148e+36, 2e+39
4.139835e+15, 1.451884e+36, 2e+39
4.139343e+15, 1.451621e+36, 2e+39
4.138845e+15, 1.451357e+36, 2e+39
4.138353e+15, 1.451094e+36, 2e+39
4.137860e+15, 1.450830e+36, 2e+39
4.137363e+15, 1.450567e+36, 2e+39
4.136869e+15, 1.450304e+36, 2e+39
4.136375e+15, 1.450040e+36, 2e+39
4.135879e+15, 1.449777e+36, 2e+39
4.135386e+15, 1.449514e+36, 2e+39
4.134889e+15, 1.449250e+36, 2e+39
4.134398e+15, 1.448987e+36, 2e+39
4.133902e+15, 1.448724e+36, 2e+39
4.133406e+15, 1.448461e+36, 2e+39
4.132914e+15, 1.448198e+36, 2e+39
4.132418e+15, 1.447934e+36, 2e+39
4.131927e+15, 1.447671e+36, 2e+39
4.131432e+15, 1.447408e+36, 2e+39
4.130937e+15, 1.447145e+36, 2e+39
4.130444e+15, 1.446882e+36, 2e+39
4.129946e+15, 1.446619e+36, 2e+39
4.129459e+15, 1.446356e+36, 2e+39
4.128962e+15, 1.446093e+36, 2e+39
4.128469e+15, 1.445830e+36, 2e+39
4.127974e+15, 1.445567e+36, 2e+39
4.127479e+15, 1.445304e+36, 2e+39
4.126985e+15, 1.445041e+36, 2e+39
4.126491e+15, 1.444778e+36, 2e+39
4.125997e+15, 1.444515e+36, 2e+39
4.125501e+15, 1.444253e+36, 2e+39
4.125012e+15, 1.443990e+36, 2e+39
4.124516e+15, 1.443727e+36, 2e+39
4.124021e+15, 1.443464e+36, 2e+39
4.123528e+15, 1.443201e+36, 2e+39
4.123035e+15, 1.442939e+36, 2e+39
4.122540e+15, 1.442676e+36, 2e+39
4.122047e+15, 1.442413e+36, 2e+39
4.121551e+15, 1.442151e+36, 2e+39
4.121059e+15, 1.441888e+36, 2e+39
4.120566e+15, 1.441625e+36, 2e+39
4.120074e+15, 1.441363e+36, 2e+39
4.119578e+15, 1.441100e+36, 2e+39
4.119084e+15, 1.440838e+36, 2e+39
4.118592e+15, 1.440575e+36, 2e+39
4.118097e+15, 1.440313e+36, 2e+39
4.117602e+15, 1.440050e+36, 2e+39
4.117111e+15, 1.439788e+36, 2e+39
4.116613e+15, 1.439525e+36, 2e+39
4.116123e+15, 1.439263e+36, 2e+39
4.115630e+15, 1.439000e+36, 2e+39
4.115134e+15, 1.438738e+36, 2e+39
4.114643e+15, 1.438476e+36, 2e+39
4.114147e+15, 1.438213e+36, 2e+39
4.113655e+15, 1.437951e+36, 2e+39
4.113164e+15, 1.437689e+36, 2e+39
4.112667e+15, 1.437427e+36, 2e+39
4.112178e+15, 1.437164e+36, 2e+39
4.111680e+15, 1.436902e+36, 2e+39
4.111189e+15, 1.436640e+36, 2e+39
4.110695e+15, 1.436378e+36, 2e+39
4.110202e+15, 1.436116e+36, 2e+39
4.109709e+15, 1.435854e+36, 2e+39
4.109214e+15, 1.435591e+36, 2e+39
4.108721e+15, 1.435329e+36, 2e+39
4.108229e+15, 1.435067e+36, 2e+39
4.107737e+15, 1.434805e+36, 2e+39
4.107242e+15, 1.434543e+36, 2e+39
4.106751e+15, 1.434281e+36, 2e+39
4.106256e+15, 1.434019e+36, 2e+39
4.105763e+15, 1.433757e+36, 2e+39
4.105271e+15, 1.433496e+36, 2e+39
4.104778e+15, 1.433234e+36, 2e+39
4.104286e+15, 1.432972e+36, 2e+39
4.103790e+15, 1.432710e+36, 2e+39
4.103300e+15, 1.432448e+36, 2e+39
4.102804e+15, 1.432186e+36, 2e+39
4.102313e+15, 1.431925e+36, 2e+39
4.101821e+15, 1.431663e+36, 2e+39
4.101328e+15, 1.431401e+36, 2e+39
4.100833e+15, 1.431139e+36, 2e+39
4.100340e+15, 1.430878e+36, 2e+39
4.099849e+15, 1.430616e+36, 2e+39
4.099357e+15, 1.430354e+36, 2e+39
4.098863e+15, 1.430093e+36, 2e+39
4.098369e+15, 1.429831e+36, 2e+39
4.097879e+15, 1.429570e+36, 2e+39
4.097383e+15, 1.429308e+36, 2e+39
4.096893e+15, 1.429046e+36, 2e+39
4.096400e+15, 1.428785e+36, 2e+39
4.095905e+15, 1.428523e+36, 2e+39
4.095415e+15, 1.428262e+36, 2e+39
4.094923e+15, 1.428001e+36, 2e+39
4.094428e+15, 1.427739e+36, 2e+39
4.093936e+15, 1.427478e+36, 2e+39
4.093444e+15, 1.427216e+36, 2e+39
4.092951e+15, 1.426955e+36, 2e+39
